10;140;8;00:49.076;00:25:14.238;00:00.142;30;16;1
1;125;43;00:49.130;00:25:01.894;---;30;30;3
2;154;130;00:49.133;00:25:01.997;00:00.103;30;27;4
3;123;144;00:49.128;00:25:04.716;00:02.719;30;25;2
4;105;46;00:49.406;00:25:06.243;00:01.527;30;23;12
5;158;85;00:49.296;00:25:12.079;00:05.836;30;21;8
6;119;95;00:49.273;00:25:12.543;00:00.464;30;20;6
7;122;91;00:49.541;00:25:13.110;00:00.567;30;19;19
8;115;171;00:49.334;00:25:13.222;00:00.112;30;18;10
9;132;4;00:49.408;00:25:14.096;00:00.874;30;17;13
11;162;133;00:49.597;00:25:14.437;00:00.199;30;15;20
12;147;127;00:49.282;00:25:15.306;00:00.869;30;14;7
13;108;5;00:49.203;00:25:15.439;00:00.133;30;13;5
14;138;116;00:49.318;00:25:15.875;00:00.436;30;12;9
15;133;11;00:49.624;00:25:17.337;00:01.462;30;11;21
16;120;142;00:49.644;00:25:19.748;00:02.411;30;10;23
17;126;169;00:49.380;00:25:19.790;00:00.042;30;9;11
18;111;73;00:49.484;00:25:20.104;00:00.314;30;8;16
19;156;119;00:49.728;00:25:20.769;00:00.665;30;7;25
20;148;9;00:49.498;00:25:20.800;00:00.031;30;6;17
21;153;34;00:49.433;00:25:20.894;00:00.094;30;5;15
22;146;132;00:49.413;00:25:20.928;00:00.034;30;4;14
23;136;101;00:49.643;00:25:21.743;00:00.815;30;3;22
24;150;12;00:50.049;00:25:27.829;00:06.086;30;2;29
25;145;29;00:49.521;00:23:44.009;-2 voltas;28;1;18
26;113;2;00:49.726;00:23:45.498;00:01.489;28;0;24
27;129;3;00:49.914;00:16:10.510;-9 voltas;19;0;26
28;141;1;00:49.964;00:11:52.602;-5 voltas;14;0;27
NC;157;139;00:50.014;00:07:46.987;-5 voltas;9;0;28
